"","Year","Month","Year-Month","SOC 2018 3-Digit Minor Group","SOC 2018 3-Digit Minor Group (Name)","Percent","Percent_3ma","N"
"90",2021,"Mar",2021.16666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.396604492695,21.3866091145265,69268
"91",2021,"Apr",2021.25,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.1109228423112,21.3456185688133,64919
"92",2021,"May",2021.33333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.5507428486954,21.3527567279005,67645
"93",2021,"Jun",2021.41666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.7534689813951,21.4717115574672,64284
"94",2021,"Jul",2021.5,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.4622408280318,21.5888175527074,60674
"95",2021,"Aug",2021.58333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",22.1663730544826,21.7940276213031,61873
"96",2021,"Sep",2021.66666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",22.921950605292,22.1835214959355,55593
"97",2021,"Oct",2021.75,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",22.7760557018022,22.6214597871923,64199
"98",2021,"Nov",2021.83333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",26.3759513384855,24.0246525485266,68062
"99",2021,"Dec",2021.91666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",24.4352788835068,24.5290953079315,62553
"100",2022,"Jan",2022,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.5249485596708,26.445392927221,77760
"101",2022,"Feb",2022.08333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27.689536811057,26.8832547514115,76621
"102",2022,"Mar",2022.16666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.2460110240789,28.1534987982689,86175
"103",2022,"Apr",2022.25,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.5735620464224,28.5030366271861,83365
"104",2022,"May",2022.33333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.4945475160907,29.1047068621973,89959
"105",2022,"Jun",2022.41666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",30.1765743867809,29.748227983098,85573
"106",2022,"Jul",2022.5,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.6712543821339,29.4474587616685,84719
"107",2022,"Aug",2022.58333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31.1492512627387,29.9990266772178,78599
"108",2022,"Sep",2022.66666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",30.4183210436756,30.0796088961827,70520
"109",2022,"Oct",2022.75,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31.1256715299083,30.8977479454408,72037
"110",2022,"Nov",2022.83333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31.7462808361057,31.0967578032298,63724
"111",2022,"Dec",2022.91666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.9918846139658,30.9546123266599,54218
"112",2023,"Jan",2023,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.9591450855927,30.5657701785548,59234
"113",2023,"Feb",2023.08333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.7798689295917,29.9102995430501,59510
"114",2023,"Mar",2023.16666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.9457227531551,29.8949122561132,60062
"115",2023,"Apr",2023.25,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31.1308170380476,30.2854695735981,65970
"116",2023,"May",2023.33333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.4654995192148,30.1806797701392,60318
"117",2023,"Jun",2023.41666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.6968703020364,29.7643956197663,58536
"118",2023,"Jul",2023.5,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.1177423710505,28.7600373974339,55545
"119",2023,"Aug",2023.58333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27.4687683090473,28.094460327378,52911
"120",2023,"Sep",2023.66666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27.5397664731401,27.7087590510793,46333
"121",2023,"Oct",2023.75,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.1462303231152,27.7182550351008,48280
"122",2023,"Nov",2023.83333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.1324812159945,28.2728260040832,46316
"123",2023,"Dec",2023.91666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.3876235875706,28.5554450422268,45312
"124",2024,"Jan",2024,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",27.2314997599104,28.2505348544918,56229
"125",2024,"Feb",2024.08333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",29.0159798149706,28.2117010541505,54694
"126",2024,"Mar",2024.16666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",28.4256611865618,28.2243802538143,55960
"127",2019,"Jan",2019,"402073","Operations Specialties Managers",2.96933228486444,2.96933228486444,58498
"128",2019,"Feb",2019.08333333333,"402073","Operations Specialties Managers",4.2132934153599,3.59131285011217,54779
"129",2019,"Mar",2019.16666666667,"402073","Operations Specialties Managers",4.00035669698591,3.72766079907008,56070
"130",2019,"Apr",2019.25,"402073","Operations Specialties Managers",3.36451380790512,3.85938797341698,40303
"131",2019,"May",2019.33333333333,"402073","Operations Specialties Managers",2.99435028248588,3.4530735957923,60180
"132",2019,"Jun",2019.41666666667,"402073","Operations Specialties Managers",3.30245210873742,3.22043873304281,52567
"133",2019,"Jul",2019.5,"402073","Operations Specialties Managers",3.12771707202444,3.14150648774925,42555
"134",2019,"Aug",2019.58333333333,"402073","Operations Specialties Managers",3.11817112119684,3.1827801006529,59490
"135",2019,"Sep",2019.66666666667,"402073","Operations Specialties Managers",3.68139102830036,3.30909307384055,55441
"136",2019,"Oct",2019.75,"402073","Operations Specialties Managers",4.11164716291338,3.63706977080352,59903
"137",2019,"Nov",2019.83333333333,"402073","Operations Specialties Managers",3.57169390787519,3.78824403302964,53840
"138",2019,"Dec",2019.91666666667,"402073","Operations Specialties Managers",3.05235639087119,3.57856582055325,56612
"139",2020,"Jan",2020,"402073","Operations Specialties Managers",2.93489335129983,3.1863145500154,60854
"140",2020,"Feb",2020.08333333333,"402073","Operations Specialties Managers",3.14431648122845,3.04385540779982,61476
"141",2020,"Mar",2020.16666666667,"402073","Operations Specialties Managers",3.98269300943544,3.35396761398791,57549
"142",2020,"Apr",2020.25,"402073","Operations Specialties Managers",6.33547815666762,4.48749588244384,38387
"143",2020,"May",2020.33333333333,"402073","Operations Specialties Managers",5.71806784852182,5.34541300487496,38527
"144",2020,"Jun",2020.41666666667,"402073","Operations Specialties Managers",6.47894612017852,6.17749737512265,46381
"145",2020,"Jul",2020.5,"402073","Operations Specialties Managers",6.38986189509382,6.19562528793139,44821
"146",2020,"Aug",2020.58333333333,"402073","Operations Specialties Managers",8.00803796656548,6.95894866061261,46778
"147",2020,"Sep",2020.66666666667,"402073","Operations Specialties Managers",8.18697526662128,7.52829170942686,44070
"148",2020,"Oct",2020.75,"402073","Operations Specialties Managers",9.14144291017658,8.44548538112112,50911
"149",2020,"Nov",2020.83333333333,"402073","Operations Specialties Managers",8.91729515531126,8.74857111070304,39115
"150",2020,"Dec",2020.91666666667,"402073","Operations Specialties Managers",9.34479054779807,9.13450953776197,42826
"151",2021,"Jan",2021,"402073","Operations Specialties Managers",10.1300803379325,9.46405534701395,50661
"152",2021,"Feb",2021.08333333333,"402073","Operations Specialties Managers",10.8366034746403,10.1038247867903,54279
"153",2021,"Mar",2021.16666666667,"402073","Operations Specialties Managers",11.017878354095,10.6615207222226,65666
"154",2021,"Apr",2021.25,"402073","Operations Specialties Managers",10.7184411796646,10.8576410027999,64459
"155",2021,"May",2021.33333333333,"402073","Operations Specialties Managers",10.4037831938887,10.7133675758827,68725
"156",2021,"Jun",2021.41666666667,"402073","Operations Specialties Managers",11.4173228346457,10.8465157360663,66040
"157",2021,"Jul",2021.5,"402073","Operations Specialties Managers",11.9250953420907,11.2487337902083,61358
"158",2021,"Aug",2021.58333333333,"402073","Operations Specialties Managers",12.0681934493347,11.8035372086904,62528
"159",2021,"Sep",2021.66666666667,"402073","Operations Specialties Managers",11.5957027399961,11.8629971771405,60876
"160",2021,"Oct",2021.75,"402073","Operations Specialties Managers",12.207780417316,11.9572255355489,66089
"161",2021,"Nov",2021.83333333333,"402073","Operations Specialties Managers",14.8464214125693,12.8833015232938,67848
"162",2021,"Dec",2021.91666666667,"402073","Operations Specialties Managers",13.111157856778,13.3884532288878,66554
"163",2022,"Jan",2022,"402073","Operations Specialties Managers",14.6896853726828,14.2157548806767,75359
"164",2022,"Feb",2022.08333333333,"402073","Operations Specialties Managers",15.3749920214464,14.3919450836357,78335
"165",2022,"Mar",2022.16666666667,"402073","Operations Specialties Managers",16.1770781239808,15.4139185060366,91982
"166",2022,"Apr",2022.25,"402073","Operations Specialties Managers",18.0727990970655,16.5416230808309,92144
"167",2022,"May",2022.33333333333,"402073","Operations Specialties Managers",17.8791087939391,17.3763286716618,98204
"168",2022,"Jun",2022.41666666667,"402073","Operations Specialties Managers",18.1469790226032,18.0329623045359,94721
"169",2022,"Jul",2022.5,"402073","Operations Specialties Managers",17.6519435743267,17.8926771302897,95134
"170",2022,"Aug",2022.58333333333,"402073","Operations Specialties Managers",17.8701753174247,17.8896993047849,86871
"171",2022,"Sep",2022.66666666667,"402073","Operations Specialties Managers",17.5375610218494,17.6865599712003,84396
"172",2022,"Oct",2022.75,"402073","Operations Specialties Managers",21.4875842864704,18.9651068752482,86906
"173",2022,"Nov",2022.83333333333,"402073","Operations Specialties Managers",20.270215931481,19.7651204132669,74607
"174",2022,"Dec",2022.91666666667,"402073","Operations Specialties Managers",19.4773930931851,20.4117311037122,68541
"175",2023,"Jan",2023,"402073","Operations Specialties Managers",20.7508353534692,20.1661481260451,76315
"176",2023,"Feb",2023.08333333333,"402073","Operations Specialties Managers",18.5236283365767,19.583952261077,68858
"177",2023,"Mar",2023.16666666667,"402073","Operations Specialties Managers",18.1355701036552,19.1366779312337,73320
"178",2023,"Apr",2023.25,"402073","Operations Specialties Managers",20.4893007673187,19.0494997358502,74024
"179",2023,"May",2023.33333333333,"402073","Operations Specialties Managers",18.2835114297308,18.9694607669016,73930
"180",2023,"Jun",2023.41666666667,"402073","Operations Specialties Managers",18.7059127143431,19.1595749704642,69748
"181",2023,"Jul",2023.5,"402073","Operations Specialties Managers",17.2088297230035,18.0660846223591,67907
"182",2023,"Aug",2023.58333333333,"402073","Operations Specialties Managers",16.9935980321045,17.636113489817,63418
"183",2023,"Sep",2023.66666666667,"402073","Operations Specialties Managers",16.7488870172061,16.9837715907714,58177
"184",2023,"Oct",2023.75,"402073","Operations Specialties Managers",16.7002658198491,16.8142502897199,56053
"185",2023,"Nov",2023.83333333333,"402073","Operations Specialties Managers",16.6274658573596,16.6922062314716,52720
"186",2023,"Dec",2023.91666666667,"402073","Operations Specialties Managers",15.3395106413783,16.2224141061957,55256
"187",2024,"Jan",2024,"402073","Operations Specialties Managers",15.6193324636482,15.8621029874621,62858
"188",2024,"Feb",2024.08333333333,"402073","Operations Specialties Managers",17.0055598431274,15.9881343160513,63491
"189",2024,"Mar",2024.16666666667,"402073","Operations Specialties Managers",16.9025348089968,16.5091423719241,70025
"190",2019,"Jan",2019,"2593528","Other Management Occupations",5.32448326856278,5.32448326856278,145385
"191",2019,"Feb",2019.08333333333,"2593528","Other Management Occupations",4.93000781638599,5.12724554247438,140730
"192",2019,"Mar",2019.16666666667,"2593528","Other Management Occupations",3.67534456355283,4.64327854950053,150843
"193",2019,"Apr",2019.25,"2593528","Other Management Occupations",4.86290166070587,4.48941801354823,108207
"194",2019,"May",2019.33333333333,"2593528","Other Management Occupations",4.55495194316757,4.36439938914209,160331
"195",2019,"Jun",2019.41666666667,"2593528","Other Management Occupations",5.21981956179293,4.87922438855546,139660
"196",2019,"Jul",2019.5,"2593528","Other Management Occupations",2.94593910770009,4.24023687088686,118570
"197",2019,"Aug",2019.58333333333,"2593528","Other Management Occupations",4.21101258684201,4.12559041877834,166682
"198",2019,"Sep",2019.66666666667,"2593528","Other Management Occupations",3.72851056222626,3.62848741892279,167815
"199",2019,"Oct",2019.75,"2593528","Other Management Occupations",4.11258249202395,4.01736854703074,160167
"200",2019,"Nov",2019.83333333333,"2593528","Other Management Occupations",5.19472533479093,4.34527279634705,146360
"201",2019,"Dec",2019.91666666667,"2593528","Other Management Occupations",3.31735709134539,4.20822163938675,156691
"202",2020,"Jan",2020,"2593528","Other Management Occupations",3.70453745230798,4.0722066261481,173247
"203",2020,"Feb",2020.08333333333,"2593528","Other Management Occupations",4.13235715832412,3.71808390065916,170871
"204",2020,"Mar",2020.16666666667,"2593528","Other Management Occupations",4.08131652973469,3.97273704678893,161394
"205",2020,"Apr",2020.25,"2593528","Other Management Occupations",6.22709039352652,4.81358802719511,115672
"206",2020,"May",2020.33333333333,"2593528","Other Management Occupations",5.91383577245519,5.40741423190547,116777
"207",2020,"Jun",2020.41666666667,"2593528","Other Management Occupations",5.2968734425358,5.81259986950584,150485
"208",2020,"Jul",2020.5,"2593528","Other Management Occupations",7.33970104461245,6.18347008653448,138616
"209",2020,"Aug",2020.58333333333,"2593528","Other Management Occupations",7.9473804883641,6.86131832517078,139568
"210",2020,"Sep",2020.66666666667,"2593528","Other Management Occupations",7.60940486516776,7.63216213271477,130273
"211",2020,"Oct",2020.75,"2593528","Other Management Occupations",8.10532317563251,7.88736950972146,145571
"212",2020,"Nov",2020.83333333333,"2593528","Other Management Occupations",8.21484329097349,7.97652377725792,119138
"213",2020,"Dec",2020.91666666667,"2593528","Other Management Occupations",8.63830957150151,8.3194920127025,127305
"214",2021,"Jan",2021,"2593528","Other Management Occupations",7.88205216974474,8.24506834407325,150202
"215",2021,"Feb",2021.08333333333,"2593528","Other Management Occupations",9.0740716671649,8.53147780280372,153878
"216",2021,"Mar",2021.16666666667,"2593528","Other Management Occupations",8.5425484038976,8.49955741360241,197763
"217",2021,"Apr",2021.25,"2593528","Other Management Occupations",7.87083600012191,8.4958186903948,196866
"218",2021,"May",2021.33333333333,"2593528","Other Management Occupations",8.13334837333033,8.18224425911661,212766
"219",2021,"Jun",2021.41666666667,"2593528","Other Management Occupations",8.28608350697227,8.0967559601415,199648
"220",2021,"Jul",2021.5,"2593528","Other Management Occupations",8.29929219281754,8.23957469104005,187763
"221",2021,"Aug",2021.58333333333,"2593528","Other Management Occupations",9.56965041674794,8.71834203884592,189683
"222",2021,"Sep",2021.66666666667,"2593528","Other Management Occupations",9.58617928168941,9.15170729708496,172321
"223",2021,"Oct",2021.75,"2593528","Other Management Occupations",10.546480827447,9.90077017529479,190272
"224",2021,"Nov",2021.83333333333,"2593528","Other Management Occupations",11.5213745775393,10.5513448955586,193805
"225",2021,"Dec",2021.91666666667,"2593528","Other Management Occupations",10.5088012608219,10.8588855552694,187814
"226",2022,"Jan",2022,"2593528","Other Management Occupations",11.1438421174284,11.0580059852632,203341
"227",2022,"Feb",2022.08333333333,"2593528","Other Management Occupations",12.0115429539885,11.2213954440796,218315
"228",2022,"Mar",2022.16666666667,"2593528","Other Management Occupations",13.5673635801046,12.2409162171738,247233
"229",2022,"Apr",2022.25,"2593528","Other Management Occupations",13.1801183982172,12.9196749774368,249497
"230",2022,"May",2022.33333333333,"2593528","Other Management Occupations",13.0064441665865,13.2513087149694,259925
"231",2022,"Jun",2022.41666666667,"2593528","Other Management Occupations",13.678350483535,13.2883043494463,258306
"232",2022,"Jul",2022.5,"2593528","Other Management Occupations",12.2379022758328,12.9742323086515,254676
"233",2022,"Aug",2022.58333333333,"2593528","Other Management Occupations",13.6501574344498,13.1888033979392,245499
"234",2022,"Sep",2022.66666666667,"2593528","Other Management Occupations",13.2560661635043,13.048041957929,226832
"235",2022,"Oct",2022.75,"2593528","Other Management Occupations",14.8398145440875,13.9153460473472,239410
"236",2022,"Nov",2022.83333333333,"2593528","Other Management Occupations",13.9070457919379,14.0009754998432,218925
"237",2022,"Dec",2022.91666666667,"2593528","Other Management Occupations",12.5354219923508,13.7607607761254,201852
"238",2023,"Jan",2023,"2593528","Other Management Occupations",12.6246041984285,13.0223573275724,221702
"239",2023,"Feb",2023.08333333333,"2593528","Other Management Occupations",12.4798742437956,12.5466334781916,209930
"240",2023,"Mar",2023.16666666667,"2593528","Other Management Occupations",12.5591116458175,12.5545300293472,227747
"241",2023,"Apr",2023.25,"2593528","Other Management Occupations",13.4871499690228,12.842045286212,227587
"242",2023,"May",2023.33333333333,"2593528","Other Management Occupations",11.9307418185351,12.6590011444585,226457
"243",2023,"Jun",2023.41666666667,"2593528","Other Management Occupations",11.7246089938387,12.3808335937989,215214
"244",2023,"Jul",2023.5,"2593528","Other Management Occupations",11.3743740961784,11.6765749695174,212293
"245",2023,"Aug",2023.58333333333,"2593528","Other Management Occupations",11.4231732369656,11.5073854423276,200067
"246",2023,"Sep",2023.66666666667,"2593528","Other Management Occupations",11.3478188013182,11.3817887114874,179030
"247",2023,"Oct",2023.75,"2593528","Other Management Occupations",11.6921887777392,11.4877269386743,178538
"248",2023,"Nov",2023.83333333333,"2593528","Other Management Occupations",11.6716031099593,11.5705368963389,162060
"249",2023,"Dec",2023.91666666667,"2593528","Other Management Occupations",11.461240981931,11.6083442898765,167303
"250",2024,"Jan",2024,"2593528","Other Management Occupations",10.7570436996879,11.2966292638594,194784
"251",2024,"Feb",2024.08333333333,"2593528","Other Management Occupations",12.0748191729403,11.4310346181864,189684
